title	description	source	date	open_coding_topic	sentiment	sentimental_words
Why Carney’s Major Projects Office is more financier than regulatory accelerator	Gaining leverage is at the core of Canada’s push with the Major Projects Office and the Liberals’ recent aggressive spending strategy.	thestar.com	2025-11-25T12:08:26-05:00	National	Neutral	
MPs swipe at Carney’s claim that Canada has no feminist foreign policy	Prime Minister Carney said Canada still wants to defend LGBTQ+ rights and combating violence against women.	thestar.com	2025-11-24T13:13:00-05:00	National	Negative	MPs swipe at Carney
With its future uncertain, should the NDP pursue power or principles?	After near electoral collapse, should the NDP shift left with bold, systemic proposals, or focus on pragmatic gains and achieving power?	thestar.com	2025-11-23T07:00:00-05:00	National	Neutral	
New Nunavut premier takes office as federal government pushes infrastructure drive	OTTAWA - As John Main settled in for one of his first interviews since being chosen as Nunavut’s new premier, his phone rang while he was in t…	thestar.com	2025-11-23T06:00:00-05:00	National	Neutral	
Here’s one thing Mark Carney could do that would improve the welfare of more Canadians than any pipeline or mine	Canada spends about $10 billion more on medicines each year than countries with universal pharmacare because our system doesn't provide access to	thestar.com	2025-11-23T06:00:00-05:00	National	Negative	Here’s one thing Mark Carney could do that would improve the welfare of more Canadians than any pipeline or mine
Carney survives budget test, but more confidence votes await	Prime Minister Mark Carney government's survived a tough test when the budget bill was narrowly passed into law. Glen McGregor looks at how the voting numbers came up in Carney's favour, along with the tough tests still ahead for the PM.	citynews.ca	2025-11-18T17:16:00-05:00	National	Positive	Carney government's survived a tough test, voting numbers came up in Carney's favour
Carney 'pleased' with budget vote as feds avoid winter election	Prime Minister Mark Carney says he was pleased with the budget vote after four abstentions secured the Liberals survival of the confidence motion.	citynews.ca	2025-11-18T17:16:00-05:00	National	Neutral	
May says she'll vote yes on Liberal budget after Carney makes climate commitment	Green Party Leader Elizabeth May offered the Liberals a critical yes vote on Prime Minister Mark Carney's first budget Monday afternoon — just a few hours before members of Parliament...	citynews.ca	2025-11-17T16:32:00-05:00	National	Neutral	
Carney budget faces pivotal vote on Monday	The federal budget will once again be up for discussion in the House of Commons as the Liberals financial blueprint faces a critical vote this week. As Glen McGregor explains,Canadians could be heading into a federal election as early as Monday.	citynews.ca	2025-11-16T17:25:00-05:00	National	Neutral	
Will Carney's projects list have a pipeline?	The Prime Minister is preparing to unveil the second batch of nation-building projects to be fast-tracked. While the list reportedly includes mines & LNG projects, it's unclear if it will have the pipeline Alberta is asking for.	citynews.ca	2025-11-12T17:32:00-05:00	National	Neutral	
Survey reveals what Canadians really think about Carney's federal budget	A new Leger poll revealed what Canadians think about the federal government's Canada Strong 2025 budget.	citynews.ca	2025-11-12T17:32:00-05:00	National	Neutral	
What Carney's 'Buy Canadian' policy could mean for housing, defence	Glen McGregor breaks down what Carney's 'Buy Canadian' policy aims to accomplish amid ongoing pressures from U.S. tariffs forcing local spending.	citynews.ca	2025-11-10T14:59:00-05:00	National	Neutral	
Carney's budget survives second confidence vote with support from Conservatives	The Liberal government is one vote away from passing its proposed federal budget after gaining majority support over a Bloc-Quebecois amendment against the budget.	citynews.ca	2025-11-07T14:40:00-05:00	National	Positive	support
Here's what's at stake for Carney's first federal budget	As Carney's Liberal government prepares to table its 2025 federal budget, Glen McGregor explains what could be included in the budget, what's at stake if it's not supported in the House of Commons.	citynews.ca	2025-11-04T10:15:00-05:00	National	Neutral	
What Canadians can expect from Carney's first federal budget	Glen McGregor breaks down what we know so far on what Canadians can expect from Carney's first federal budget.	citynews.ca	2025-11-03T10:51:00-05:00Z	National	Neutral	
Carney launches Build Canada Homes entity with initial $13-billion investment	Prime Minister Mark Carney has formally announced the launch of Build Canada Homes (BCH),a brand-new federal housing agency with an ambitious mandate to double housing construction,restore affordability,and reduce homelessness across the country.	dailyhive.com	2025-09-15T12:00:00-05:00	National	Positive	launch,brand-new,ambitious
Federal government to create new 'Build Canada Homes' developer for building and financing affordable housing	Prime Minister Mark Carney and his Liberal-led federal government are following through on their election campaign promise of creating a new national agency dedicated to affordable housing.	dailyhive.com	2025-08-14T12:00:00-05:00	National	Positive	following through on their election campaign promise, of creating a new national agency dedicated to affordable housing
Federal budget takes a step back from promised Canada Public Transit Fund: CUTA	Prime Minister Mark Carney’s 2025 budget for the Government of Canada is drawing criticism from the public transit sector after previously dedicated public transit funding was folded into a larger infrastructure pool,raising concerns over predictability and the ability to move forward with public transit expansion projects across the country.	dailyhive.com	2025-11-18T12:00:00-05:00	National	Negative	concerns
How Canada's 2025 federal budget could affect your taxes	Prime Minister Mark Carney’s Liberal government unveiled its federal budget for 2025, and it has a heavy emphasis on investment in hopes of stimulating the economy amid political and financial uncertainty.	dailyhive.com	2025-11-06T12:00:00-05:00	National	Negative	could affect your taxes, amid political and financial uncertainty
Carney to introduce serious new measures to combat crime in Canada	Prime Minister Mark Carney has announced new measures to combat crime in Canada. On Thursday, the Liberal government stated it would introduce new initiatives to “protect Canadians and keep communities safe.”	dailyhive.com	2025-10-17T12:00:00-05:00Z	National	Positive	New Measures to Protect
Carney announces CRA's automated tax filing will launch next year	The Canada Revenue Agency (CRA) is moving forward with plans to expand its automated tax filing process, ensuring that low-income Canadians receive the benefits they’re entitled to.	dailyhive.com	2025-10-10T12:00:00-05:00	National	Positive	moving forward with plans to expand its automated tax filing process, ensuring that low-income Canadians receive the benefits they’re entitled to
Canada Strong Pass to be extended for the holidays and Summer 2026	Canadians will be able to take advantage of the Canada Strong Pass during the holidays. In an announcement on Friday, Prime Minister Mark Carney revealed that the Canada Strong Pass would be extended for the holidays and Summer 2026.	dailyhive.com	2025-10-10T12:00:00-05:00	National	Neutral	
Canada's longest bridge gets major toll cut as Carney slashes Confederation Bridge fees	In a major move to improve affordability and interprovincial connectivity, Prime Minister Mark Carney announced today that tolls on the Confederation Bridge and fares for federally supported interprovincial ferry routes in Atlantic Canada and Eastern Quebec will be significantly reduced starting at the end of this week.	dailyhive.com	2025-07-28T12:00:00-05:00	National	Positive	improve affordability and interprovincial connectivity
'Structural unfairness': Premier David Eby calls for more federal funding for BC Ferries	Earlier today,Prime Minister Mark Carney announced major reductions to key transportation service fees in Eastern Canada,fulfilling a promise made during the recent federal election campaign.	dailyhive.com	2025-07-28T12:00:00-05:00	National	Negative	unfairness
Manitoba Premier Kinew asks PM Carney for sentencing, parole overhaul - Winnipeg	Manitoba Premier Wab Kinew says the release of a man who killed two women	globalnews.ca	2025-11-25T22:38:45.000000Z	National	Neutral	
It’s unacceptable B.C. has been cut out of pipeline talks, Premier Eby tells Mark Carney	For a project he says 'doesn't actually exist,' there was a lot British Columbia Premier David Eby had to say about a potential pipeline from Alberta to B.C.'s ...	globalnews.ca	2025-11-25T02:11:01.000000Z	National	Negative	It’s unacceptable, For a project he says 'doesn't actually exist,'
Carney says ‘constructive’ talks ongoing with Alberta about oil pipeline	Prime Minister Mark Carney on Sunday addressed speculation about whether an agreement is close for a new pipeline between Alberta and B.C.'s northern coast.	globalnews.ca	2025-11-23T16:11:14.000000Z	National	Positive	Constructive Talks
Sports gambling ads in Canada must be reined in, senators urge in letter - National	A letter signed by more than 40 senators urges Prime Minister Mark Carney to work towards banning sports betting ads in Canada, which highlights the health and ...	globalnews.ca	2025-11-20T21:40:00.000000Z	National	Neutral	
Premiers hint at ‘significant’ tariff relief to come after Carney meeting - National	New Brunswick Premier Susan Holt said premiers had a productive meeting with Carney that focused on the federal budget and progress on tariff talks with the U...	globalnews.ca	2025-11-17T22:06:03.000000Z	National	Positive	productive,progress
Carney faces crucial confidence vote as MPs set to vote on budget - National	Prime Minister Mark Carney faces a crucial confidence vote on his budget on Monday,but it's not known yet if Canada will be heading to another election or not.	globalnews.ca	2025-11-17T09:00:23.000000Z	National	Neutral	
Canadian oil and gas producers applaud Ottawa’s latest major projects list	"CAPP president Lisa Baiton said the new list moves Canada toward becoming a ""global energy superpower,"" something Prime Minister Mark Carney has said repeatedly..."	globalnews.ca	2025-11-14T19:35:31.000000Z	National	Positive	applaud Ottawa’s latest major projects list, moves Canada toward becoming a 'global energy superpower',
Carney has ‘limited room to cut taxes’ as debt-to-GDP ratio to grow: PBO - National	The federal debt-to-GDP ratio in Budget 2025 is projected to be higher compared with the 2024 fall economic statement, 'and is no longer projected to be on a de...	globalnews.ca	2025-11-14T15:34:15.000000Z	National	Negative	limited room to cut taxes, debt-to-GDP ratio to grow
Major projects list has some Indigenous support, but more needed: Carney	Prime Minister Mark Carney says his  list of major projects has received support from some Indigenous groups, but more will be needed.	globalnews.ca	2025-11-14T13:27:10.000000Z	National	Neutral	
2 B.C. major projects on Mark Carney’s list for possible fast-track approval	Prime Minister Mark Carney announced in Terrace, B.C., on Thursday that two major projects in the province are being forwarded to the Major Projects Office for ...	globalnews.ca	2025-11-13T20:57:25.000000Z	National	Neutral	
Carney set to announce next list of major projects - National	Prime Minister Mark Carney announced the first five projects the government was submitting for fast-track consideration two months ago.	globalnews.ca	2025-11-13T13:22:15.000000Z	National	Neutral	
Premiers say infrastructure, U.S. trade talks top Carney meeting priorities - National	The virtual meeting scheduled for next week will be the latest in a series of meetings between the premiers and Carney since he became prime minister earlier th...	globalnews.ca	2025-11-12T17:41:34.000000Z	National	Neutral	
Carney meets with N.B. premier, province expects to be on nation-building projects list - New Brunswick	Prime Minister Mark Carney travelled to New Brunswick and met with Premier Susan Holt for the first time since taking office.	globalnews.ca	2025-11-10T21:16:43.000000Z	National	Neutral	
Carney tells business crowd a new pipeline project is ‘going to happen’ - National	Prime Minister Mark Carney signalled support for a new Alberta pipeline,telling a Bay Street audience “it’s going to happen,” as talks with Premier Danie...	globalnews.ca	2025-11-07T23:56:16.000000Z	National	Neutral	
Carney says new pipeline project ‘going to happen’ while promoting budget	"During an armchair talk at the Canadian Club Toronto, Carney told the audience not to worry because his government is on top of ""the pipeline stuff."""	globalnews.ca	2025-11-07T23:45:32.000000Z	National	Positive	Pipeline will happen
Carney government will face 2nd crucial confidence vote on budget - National	This comes after the NDP, the Bloc Québécois and Green Party Leader Elizabeth May voted with the minority Liberals to defeat a Conservative sub-amendment on T...	globalnews.ca	2025-11-07T13:45:26.000000Z	National	Neutral	
Carney government to face crucial confidence votes Thursday, Friday - National	The House of Commons is set to vote Thursday on a Conservative subamendment to the budget, followed by a Bloc Quebecois amendment vote on Friday.	globalnews.ca	2025-11-06T20:14:47.000000Z	National	Neutral	
Carney calls floor-crossing ex-Conservative MP ‘exceptionally valuable’	Prime Minister Mark Carney commented the day after a former Conservative MP resigned to join the Liberal Party and said the move was 'exceptionally valuable.'	globalnews.ca	2025-11-05T14:48:52.000000Z	National	Neutral	
COMMENTARY: The 2025 Budget bets big on productivity but only time will tell if it works - National	The Carney government is addressing the challenge in a meaningful way with measures that will cost $110 billion over five years, but will presumably pay off far...	globalnews.ca	2025-11-05T10:00:41.000000Z	National	Positive	meaningful way, will presumably pay off
Carney is cutting the luxury tax. What else is getting axed in Budget 2025? - National	Other measures include a 'super-reduction' to Canada's marginal effective tax rate and further automating traveller screening at the nation's airports.	globalnews.ca	2025-11-04T23:31:17.000000Z	National	Negative	Carney is cutting the luxury tax. What else is getting axed
What will the Carney government’s 1st budget include? Here are some hints - National	Finance Minister Francois-Philippe Champagne will present the budget on Tuesday, with experts projecting the government’s deficit skyrocketing this year.	globalnews.ca	2025-11-03T20:20:19.000000Z	National	Negative	Deficit skyrocketing
Ford says Carney asked him to remove anti-tariff ad early ‘a couple of times’	Premier Doug Ford says Prime Minister Mark Carney asked him 'a couple of times' to pull his anti-tariff commercial after it led to a breakdown in U.S.-Canada tr...	globalnews.ca	2025-11-03T20:02:31.000000Z	National	Neutral	
How Carney’s 1st budget will be different from others - National	Prime Minister Mark Carney is set to table his government's first budget this week, which is expected to be different from past budgets.	globalnews.ca	2025-11-03T18:37:45.000000Z	National	Positive	How Carney’s 1st budget will be different from others
Spectre of 1995’s budget cuts has public sector unions on edge - National	Prime Minister Mark Carney pitched Canadians in the last federal election on restraining federal spending and reducing the government’s operating budget.	globalnews.ca	2025-11-03T09:00:45.000000Z	National	Negative	 on edge
Carney to announce measures to protect steel, softwood lumber industries: sources	Help is on the way for Canadian steel producers and those in softwood lumber affected by the ongoing trade dispute ...	cp24.com	2025-11-26T19:04:41.000000Z	National	Positive	Help is on the way
Carney says B.C. ‘has to agree’ on pipeline plan from Alberta	OTTAWA — British Columbia “has to agree” on any pipeline from Alberta to the Pacific coast, Prime Minister Mark Carney ...	cp24.com	2025-11-25T19:04:41.000000Z	National	Neutral	
Newfoundland is ‘back in the oil business,’ new premier vows ahead of Carney meeting	ST. JOHN’S — Newfoundland and Labrador Premier Tony Wakeham says he is heading to Ottawa later today with demands for ...	cp24.com	2025-11-25T19:04:41.000000Z	National	Neutral	
Eby tells Carney it was ‘unacceptable’ for B.C. to be excluded in proposed pipeline talks	B.C. Premier David Eby says he wants any potential energy deal between Alberta and the federal government to include a ...	cp24.com	2025-11-25T19:04:41.000000Z	National	Negative	‘unacceptable’, excluded
MPs swipe at Carney’s claim that Canada has no feminist foreign policy	Prime Minister Mark Carney’s claim that Canada does not have a “feminist foreign policy” spilled into the political arena Monday, ...	cp24.com	2025-11-24T19:04:41.000000Z	National	Negative	MPs swipe at Carney’s claim
Premiers say they had positive meeting with PM, hint that tariff relief is coming	OTTAWA — New Brunswick Premier Susan Holt said premiers had a “productive” meeting with Prime Minister Mark Carney on Monday, ...	cp24.com	2025-11-18T19:04:41.000000Z	National	Positive	“productive” meeting with Prime Minister Mark Carney
Minority Liberals narrowly survive high-stakes confidence vote, fending off holiday election	Prime Minister Mark Carney’s minority Liberal government narrowly survived its third confidence vote in as many weeks on Monday, passing ...	cp24.com	2025-11-17T19:04:41.000000Z	National	Negative	Narrowly survived
‘A move in the right direction’: Harrow steel tycoon pleased with Ottawa clawing back imports	Prime Minister Mark Carney has announced new measures to limit the amount of steel imports ...	ctvnews.ca	2025-11-26T12:00:00-05:00	National	Positive	A move in the right direction
PM Carney announces new measures to protect steel, lumber industries		ctvnews.ca	2025-11-26T12:00:00-05:00	National	Positive	protect steel, lumber industries
Ottawa faces 'bad options' as Carney balances pipeline politics and steel sector turmoil		ctvnews.ca	2025-11-26T12:00:00-05:00	National	Negative	bad options,turmoil
Carney meets with new Newfoundland and Labrador premier on ‘ambitious agenda’	ST. JOHN’S — Newfoundland and Labrador’s new premier is meeting with Prime Minister Mark Carney. ...	ctvnews.ca	2025-11-26T12:00:00-05:00	National	Neutral	
Carney to announce help for softwood, steel industries		ctvnews.ca	2025-11-26T12:00:00-05:00	National	Positive	announce help
PM Carney to unveil new measures to protect Canada’s steel industry: sources		ctvnews.ca	2025-11-25T12:00:00-05:00	National	Neutral	
Carney says B.C. ‘has to agree’ on pipeline plan from Alberta	OTTAWA — British Columbia “has to agree” on any pipeline from Alberta to the Pacific ...	ctvnews.ca	2025-11-25T12:00:00-05:00Z	National	Neutral	
Manitoba Premier Kinew asks PM Carney for sentencing, parole overhaul	WINNIPEG — Manitoba Premier Wab Kinew has asked the prime minister for stiffer sentences for ...	ctvnews.ca	2025-11-25T12:00:00-05:00	National	Neutral	
'That was a poor choice of words': PM Carney on 'who cares?' comment on trade ...		ctvnews.ca	2025-11-25T12:00:00-05:00	National	Neutral	
Newfoundland is ‘back in the oil business,’ new premier vows ahead of Carney meeting	ST. JOHN’S — Newfoundland and Labrador Premier Tony Wakeham says he is heading to Ottawa ...	ctvnews.ca	2025-11-25T12:00:00-05:00	National	Neutral	
Eby tells Carney it was ‘unacceptable’ for B.C. to be excluded in proposed pipeline talks	B.C. Premier David Eby says he wants any potential energy deal between Alberta and the ...	ctvnews.ca	2025-11-25T12:00:00-05:00	National	Negative	unacceptable
MPs swipe at Carney’s claim that Canada has no feminist foreign policy	Prime Minister Mark Carney’s claim that Canada does not have a “feminist foreign policy” spilled ...	ctvnews.ca	2025-11-24T12:00:00-05:00	National	Negative	MPs swipe at Carney’s claim
How should PM Carney handle the intensifying pipeline negotiations?		ctvnews.ca	2025-11-21T12:00:00-05:00	National	Neutral	
Murphy’s Logic: Lots of spending with little enthusiasm	His minority government may have survived but… Mark Carney’s first budget as prime minister hasn’t ...	ctvnews.ca	2025-11-20T12:00:00-05:00	National	Negative	little enthusiasm
Discussions on free trade, regional security on the agenda for PM Carney’s first day in ...		ctvnews.ca	2025-11-20T12:00:00-05:00	National	Neutral	
PM Carney 'walking that tightrope' with Alberta and possible pipeline agreement		ctvnews.ca	2025-11-18T12:00:00-05:00	National	Neutral	
Liberal strategist says ‘last minute negotiating’ pushed through first Carney budget	Liberal strategist Sabrina Grover joins Alberta Primetime host Michael Higgins to discuss the make or ...	ctvnews.ca	2025-11-18T12:00:00-05:00	National	Neutral	
Minority Liberals narrowly survive high-stakes confidence vote, fending off holiday election	Prime Minister Mark Carney’s minority Liberal government narrowly survived its third confidence vote in as ...	ctvnews.ca	2025-11-17T12:00:00-05:00	National	Neutral	
Carney government gets votes to pass budget		ctvnews.ca	2025-11-17T12:00:00-05:00	National	Positive	gets votes
May says PM Carney’s 'firm commitment and goodwill' prompted her to say yes to the ...		ctvnews.ca	2025-11-17T12:00:00-05:00	National	Positive	firm commitment and goodwill
NDP strategist says PM Carney lacked 'a sense of urgency' in selling budget to Canadians		ctvnews.ca	2025-11-17T12:00:00-05:00Z	National	Negative	Lacked a sense of urgency
Gun control group warns of Liberal ‘inaction’ ahead of Polytechnique anniversary	OTTAWA — A well-known gun control group is telling Prime Minister Mark Carney it would ...	ctvnews.ca	2025-11-15T12:00:00-05:00	National	Negative	warns of Liberal ‘inaction’
CTV National News: Criticism surfaces following PM Carney’s major projects reveal		ctvnews.ca	2025-11-14T12:00:00-05:00	National	Negative	Criticism surfaces
Excitement as Crawford Nickel Project put on the fast track by the federal government	After much speculation, Prime Minister Mark Carney confirmed Thursday that Canada Nickel’s Crawford Nickel Project ...	ctvnews.ca	2025-11-14T12:00:00-05:00	National	Positive	Excitement
Pipeline not part of Carney's project announcements		ctvnews.ca	2025-11-14T12:00:00-05:00	National	Neutral	
‘Brace for impact:’ B.C. town prepares for life with one of Carney’s major projects	TERRACE, B.C. -- In the heart of LNG and mining investment territory, Terrace B.C., Prime ...	ctvnews.ca	2025-11-14T12:00:00-05:00	National	Negative	Brace for impact, prepares for life with one of Carney’s major projects
Gas price gap between Quebec and the rest of Canada is widening after carbon tax ...	Since Mark Carney’s Liberal government cut the consumer carbon tax,prices at the pump dropped ...	ctvnews.ca	2025-11-14T12:00:00-05:00	National	Neutral	
New major projects list has some Indigenous buy-in, Carney says OKs still needed	OTTAWA — After an initial round of referrals to the new Major Projects Office that ...	ctvnews.ca	2025-11-14T12:00:00-05:00	National	Positive	some Indigenous buy-in
CTV National News: Alberta Premier Smith embraces PM Carney’s new nation-building investment		ctvnews.ca	2025-11-13T12:00:00-05:00	National	Positive	embraces,nation-building
CTV National News: B.C. communities react to PM Carney’s nation-building projects		ctvnews.ca	2025-11-13T12:00:00-05:00	National	Neutral	
CTV National News: PM Carney announces second round of nation-building projects		ctvnews.ca	2025-11-13T12:00:00-05:00	National	Neutral	
Alberta’s Smith supportive of new major projects, says pipeline negotiation ongoing	CALGARY — Alberta Premier Danielle Smith says shes on board with Prime Minister Mark Carney's ...	ctvnews.ca	2025-11-13T12:00:00-05:00	National	Positive	Support
Former B.C. premier praises PM Carney's 'lightning fast' action on major projects		ctvnews.ca	2025-11-13T12:00:00-05:00	National	Positive	praises
Carney announces next of nation-building projects: A look at what made the list	Three critical mineral extraction projects, a nickel mine in Ontario and a transmission line on ...	ctvnews.ca	2025-11-13T12:00:00-05:00	National	Neutral	
B.C. power line and Ksi Lisims LNG added to federal government’s major-projects list	With a buzzing electrical substation in Terrace, B.C., as his backdrop, Prime Minister Mark Carney ...	ctvnews.ca	2025-11-13T12:00:00-05:00	National	Positive	With a buzzing electrical substation in Terrace, B.C., as his backdrop,
Major projects announcement in B.C: What is Ksi Lisims LNG?	The Ksi Lisims LNG facility in northern British Columbia and the North Coast Transmission Line ...	ctvnews.ca	2025-11-13T12:00:00-05:00	National	Neutral	
Prime Minster Mark Carney outlines initiatives in second wave of major projects		ctvnews.ca	2025-11-13T12:00:00-05:00	National	Neutral	
PM Mark Carney reiterates desire for Canada to become an ‘energy superpower’		ctvnews.ca	2025-11-13T12:00:00-05:00	National	Neutral	
PM Carney on next phase of major projects: 'Strengthening Canada’s autonomy and resilience'		ctvnews.ca	2025-11-13T12:00:00-05:00	National	Neutral	
New Brunswick’s Sisson Mine added to Carney’s list of nation-building projects	There’s tepid reaction trickling in as residents and organizations in the communities near the Sisson ...	ctvnews.ca	2025-11-13T12:00:00-05:00	National	Negative	tepid reaction
Carney to release details of priority projects		ctvnews.ca	2025-11-13T12:00:00-05:00	National	Neutral	
No Alberta-B.C. pipeline on Carney’s priorities, but Smith says talks are continuing	Premier Danielle Smith says she’s supportive of the updated list of nation-building projects announced by ...	ctvnews.ca	2025-11-13T12:00:00-05:00	National	Positive	supportive of the updated list of nation-building projects
Carney’s 1st budget wins support for infrastructure, immigration plans: poll	OTTAWA — Prime Minister Mark Carney secured broad support from across party lines and provincial ...	ctvnews.ca	2025-11-13T12:00:00-05:00Z	National	Positive	Broad support
Still many years before Prime Minister Carney’s major projects come to fruition: McLaughlin		ctvnews.ca	2025-11-12T12:00:00-05:00	National	Negative	still many years
Analyst: 'These major projects do not meet the kind of inspirational talk' that PM Carney ...		ctvnews.ca	2025-11-12T12:00:00-05:00	National	Negative	do not meet
New nation-building projects to include mining and energy developments,sources say	Prime Minister Mark Carney is set to unveil the second phase of major projects Thursday ...	ctvnews.ca	2025-11-12T12:00:00-05:00	National	Neutral	
What to Know About Canada’s New Budget	The government of Prime Minister Mark Carney unveiled a program of big spending to spur Canada’s economy and reduce its dependence on the United States.	nytimes.com	2025-11-04T23:59:15Z	National	Neutral	
Canada Announces Major Projects to Offset Bite of Trump’s Tariffs	Prime Minister Mark Carney unveiled big infrastructure plans. But they are likely to meet resistance from Indigenous and environmental groups.	nytimes.com	2025-09-11T19:39:01Z	National	Negative	likely to meet resistance from Indigenous and environmental groups
A Pay Raise for Canada’s Military to Boost Recruitment and Retention	Canada’s top military commander, however, says other measures will also be needed to keep people enlisted.	nytimes.com	2025-08-09T10:00:13Z	National	Neutral	
In Canada’s Northern Outposts, Rusting Relics Once Guarded Against Nuclear War	Strings of radars stretching across Canada were built to give early warnings of Soviet bombers coming over the Arctic. The region now faces a new era of militarization.	nytimes.com	2025-07-13T09:00:32Z	National	Neutral	
Good Vibes in Trump Trade Talks Haven’t Shielded Canada From Chaos	The country’s new prime minister,Mark Carney,has been called the “Trump whisperer,” and negotiations have been cordial and professional. But it’s been a wild ride.	nytimes.com	2025-07-11T11:43:52Z	National	Positive	Good Vibes,cordial,professional
Carney’s ‘Build, Baby, Build’ Faces Pushback From Indigenous Groups	Prime Minister Mark Carney wants to fast-track nation-building projects to remake Canada’s economy. Indigenous groups want a seat at the table.	nytimes.com	2025-07-05T09:01:09Z	National	Negative	Pushback
Can Canada Offset Trump’s Tariff War With More Domestic Trade?	Prime Minister Mark Carney will meet his pledge to eliminate the country’s internal trade barriers by July 1. But economists say it’s not a substitute for lost U.S. trade.	nytimes.com	2025-06-30T09:02:31Z	National	Negative	not a substitute
Canada’s Trump-Fueled Brain Gain	The University of Toronto has attracted several U.S. professors amid turmoil between American higher-education institutions and the Trump administration.	nytimes.com	2025-06-28T09:00:44Z	National	Neutral	
No-Go Zones for a Sandwich in a Divided Canadian City	A city that straddles two Canadian provinces became a crucible of the barriers that prevent trade across Canada and that Prime Minister Mark Carney wants to dismantle.	nytimes.com	2025-06-26T09:02:04Z	National	Positive	dismantle barriers that prevent trade across Canada
After Decades of Atrophy, Canada Vows to Beef Up Its Military. Can It Deliver?	To help shift the country away from its dependence on the United States, Canada’s prime minister plans to spend billions to revitalize its military and meet a NATO spending goal.	nytimes.com	2025-06-15T09:01:14Z	National	Neutral	
Canada’s Million-Dollar Housing Crisis	Soaring housing costs, with many homes nearing $1 million, have sparked an exodus from cities like Vancouver, and Canadians want their next prime minister to do something about it.	nytimes.com	2025-04-23T09:01:42Z	National	Neutral	
Prime minister says Premier Tony Wakeham has ‘ambitious agenda’ as the two meet in Ottawa	Newfoundland and Labrador Premier Tony Wakeham is in Ottawa for a week, and there is a lot to talk about with Prime Minister Mark Carney, at least according to ...	cbc.ca	2025-11-26T15:24:00.000000Z	National	Neutral	
Carney to announce aid measures for aluminum and steel producers	Prime Minister Mark Carney will announce new aid measures Wednesday aimed at helping Canada's aluminum and steel producers.	cbc.ca	2025-11-26T04:00:43.000000Z	National	Positive	Carney will announce new aid measures Wednesday aimed at helping
